Site,filename,Name,storeName,joltLocationID
13019,store-13019,Road 68,Wendy's 13019 - Road 68,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2ZDY4MjRjYzY3MmJlNzIxODc=
13240,store-13240,South Pointe,Wendy's 13240 - South Pointe,TG9jYXRpb246MDAwZDAxMzkyNjM3NjgwMWE0ZWMyOGM1NTA5ZDhjNDY=
13531,store-13531,Springfield,Wendy's 13531 - Springfield,TG9jYXRpb246MDAxMmE5YmEyNjQ1NTJlN2RlNjcyZTQ3ZGM3NWNlNjU=
14422,store-14422,Union Gap,Wendy's 14422 - Union Gap,TG9jYXRpb246MDAyM2U4MzkyNjdmNTRhMGMyNzAxOTRkMTZjZGE0NjE=
2992,store-2992,South 48,Wendy's 2992 - South 48,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODU2NGY2MzVmYTIzOTRiNDA=
3108,store-3108,Hastings,Wendy's 3108 - Hastings,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODRkNGU5ODk4ZTNlMDRlNTM=
3166,store-3166,Locust,Wendy's 3166 - Locust,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODQ4ZmRjYzMxYWNhNDA1YWI=
3261,store-3261,Roseburg,Wendy's 3261 - Roseburg,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2ZDgzMzg1YmUyZTg5N2MwZDc=
3262,store-3262,Pasco,Wendy's 3262 - Pasco,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2Y2E4YWNhNTAxYzY0NDRiYjU=
3360,store-3360,North Platte,Wendy's 3360 - North Platte,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODQzMmFiYTI2MGZiN2Y5YWU=
3366,store-3366,Eugene,Wendy's 3366 - Eugene,TG9jYXRpb246MDAwNTg3NWIyNjBkNGM2ZDA4YWI4MGJkNDE5YzllMjg=
3388,store-3388,Q Street,Wendy's 3388 - Q Street,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODVhZjliNWRjYThhMGZmMWI=
3430,store-3430,Kearney South,Wendy's 3430 - Kearney South,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODFhMTA0NDU5ODJiZmZiZjU=
3473,store-3473,Bend 1,Wendy's 3473 - Bend 1,TG9jYXRpb246MDAwNTg3MmQyNjBkNGNjODE1MjkwODk2OWI0MWFkZmI=
3477,store-3477,Great Bend,Wendy's 3477 - Great Bend,TG9jYXRpb246MDAwNTg3NWMyNjBkNGNkYWMzMDNjNjY4N2FkZGY3NjQ=
